scenario,strategy,total_spread_capture,maker_fee_pnl,information_price_pnl,noise_price_pnl,jump_price_pnl,forced_execution_pnl,terminal_adjustment_pnl,terminal_pnl
clean,fixed,3.682810112823991,-0.0671,0.0,0.2845438101577701,0.0,0.0,-0.4878799999999842,3.412373922982502
clean,full_adaptive,3.1695649679205715,-0.034375,0.0,-0.08284744407453362,0.0,0.0,-0.1353599999999891,2.9169825238462197
clean,full_risk,3.1695649679205715,-0.034375,0.0,-0.08284744407453362,0.0,0.0,-0.1353599999999891,2.9169825238462197
clean,inventory,3.6400368041106277,-0.06810000000000001,0.0,0.06687549604904866,0.0,0.0,-0.14139999999999703,3.497412300160078
clean,inventory_volatility,3.418597016551698,-0.042249999999999996,0.0,-0.1403776076905763,0.0,0.0,-0.11199999999999537,3.123969408861394
high_volatility,fixed,3.6639515208208238,-0.066775,0.0,-0.037449155203346775,0.0,0.0,-0.47611999999997606,3.0836073656180587
high_volatility,full_adaptive,1.7574373947993043,-0.01195,0.0,-1.3438342938022003,0.0,0.0,-0.12287999999999548,0.2787731009971092
high_volatility,full_risk,1.6988363557824582,-0.011600000000000001,0.0,-1.9702136074717855,0.0,-0.021040000000001346,-0.10475999999999533,-0.40877725168932944
high_volatility,inventory,3.64289795416354,-0.06810000000000001,0.0,-1.934670811039867,0.0,0.0,-0.12631999999999696,1.5138071431240205
high_volatility,inventory_volatility,2.133523070137051,-0.01585,0.0,-1.0696406531372271,0.0,0.0,-0.12563999999999464,0.9223924169998448
one_sided,fixed,4.179066972603286,-0.0762,0.0,1.6339859141977495,0.0,0.0,-3.146919999999832,2.5899328867959155
one_sided,full_adaptive,3.2706055860561465,-0.031325000000000006,0.0,0.1107617830858068,0.0,0.0,-0.5159599999999698,2.834082369142537
one_sided,full_risk,3.2514662245790142,-0.031125000000000003,0.0,0.30296097071132444,0.0,-0.018480000000002383,-0.5009599999999717,3.0038621952909006
one_sided,inventory,3.9571934591170383,-0.07050000000000001,0.0,0.27480920586235696,0.0,0.0,-0.6723999999999483,3.489102664980712
one_sided,inventory_volatility,3.6479164287666945,-0.039650000000000005,0.0,0.28829843821621787,0.0,0.0,-0.631879999999976,3.264684866983624
regime_switching,fixed,4.53475132731563,-0.08275,-4.651581286491634,0.827243212440745,0.0,0.0,-0.6147199999999683,0.012943253265369192
regime_switching,full_adaptive,2.8297244736969818,-0.026750000000000003,-0.723107641798226,-0.2378440753461007,0.0,0.0,-0.1574399999999962,1.6845827565528442
regime_switching,full_risk,2.8297244736969818,-0.026750000000000003,-0.723107641798226,-0.2378440753461007,0.0,0.0,-0.1574399999999962,1.6845827565528442
regime_switching,inventory,4.470985228210435,-0.08380000000000001,-3.8051384714474095,-0.05844355271701648,0.0,0.0,-0.1901999999999911,0.33340320404662704
regime_switching,inventory_volatility,3.6104399973123904,-0.0381,-1.1965940611521386,0.11506803747177048,0.0,0.0,-0.18847999999999268,2.302333973632378
stress,fixed,6.841297271533028,-0.12467500000000001,-38.91034857324529,4.44733157268223,-31.1625,0.0,-3.209319999999786,-62.11821472903823
stress,full_adaptive,2.0180041652503498,-0.01005,-1.5212741478608958,0.11064159380383291,-2.115,0.0,-0.1537199999999908,-1.6713983888066444
stress,full_risk,1.8179330120817934,-0.00925,-1.0010847195049366,0.284273321166422,-2.0925000000000002,-0.04712000000000101,-0.10619999999998866,-1.1539483862566604
stress,inventory,8.251580737830244,-0.15102500000000002,-32.24131399773934,-0.5538967318529261,-9.2025,0.0,-0.8185599999999456,-34.715714991760265
stress,inventory_volatility,3.6540884324281406,-0.02175,-6.2986885351113076,0.2965498494494542,-4.2524999999999995,0.0,-0.4377199999999585,-7.060020253233428
toxic,fixed,5.5232734610541865,-0.10070000000000001,-6.53425687864492,-1.080896193232867,0.0,0.0,-0.6707599999999587,-2.8633396108224582
toxic,full_adaptive,2.9163713743889614,-0.02215,-0.7654763209327001,-0.3584983098153219,0.0,0.0,-0.11483999999999361,1.6554067436410018
toxic,full_risk,2.908997068469049,-0.0221,-0.6841173425462359,-0.34584105072653115,0.0,-0.00699999999999954,-0.10783999999999265,1.742098675196345
toxic,inventory,5.33052021699727,-0.10057500000000001,-6.40198597385636,0.12193428563997413,0.0,0.0,-0.16279999999999015,-1.2129064712185553
toxic,inventory_volatility,4.278774970275627,-0.04075,-2.688843455472904,-0.4369730131258708,0.0,0.0,-0.1347199999999891,0.9774885016770909
