side,trades,mean_one_step_markout,median_one_step_markout,toxic_fraction,mean_spread_capture
buy,47,-0.007079250808960706,0.0137295909518257,0.851063829787234,0.07084152211462842
sell,41,-0.024842711933684616,-0.0043660951283754,0.8536585365853658,0.06543585123730275
