scenario,strategy,number_of_paths,mean_terminal_pnl,median_terminal_pnl,pnl_standard_deviation,pnl_1_percentile,pnl_5_percentile,pnl_95_percentile,worst_terminal_pnl,probability_of_loss,expected_shortfall_5,mean_maximum_drawdown,mean_absolute_inventory,mean_maximum_inventory,mean_traded_quantity,mean_markout_per_unit,mean_toxic_fraction,mean_forced_reduction_count,halt_probability,maximum_reconciliation_error
clean,avellaneda_stoikov,40,3.9786498671455206,3.8403258745693263,4.06667169625141,-2.7522213700413474,-0.8017108606330783,9.650525780422527,-3.6089663449287217,0.125,-2.5105753514833697,2.469222469865591,3.04,7.625,61.1,0.060830896512312924,0.0,0.0,0.0,1.2665424264923786e-12
high_volatility,avellaneda_stoikov,40,2.984364806299889,2.7620607931296988,5.094072071502301,-8.895892928471618,-4.033375725185868,12.270035283026237,-10.15944447409951,0.25,-8.539506595089392,4.611100895140266,1.5792,4.85,58.75,0.05705331162757523,0.0,0.0,0.0,5.933031843596837e-13
one_sided,avellaneda_stoikov,40,2.488870575183049,4.279881699864709,13.33472869094679,-30.783253413309204,-18.576888796299247,20.766994939548184,-35.0394532567379,0.4,-29.582786790803677,14.006554039928554,11.3172,24.1,66.825,0.06370785900633165,0.0,0.0,0.0,5.5448423630366506e-12
regime_switching,avellaneda_stoikov,40,0.5168034818353167,0.0723145494808416,5.188461348021513,-9.739323311710432,-8.639076242769924,8.054793783978683,-9.760095784582896,0.5,-9.73346440910538,5.493921683874406,2.5878,8.175,74.45,0.008933901488712455,0.5475388216138043,0.0,0.0,1.1004530620084552e-12
stress,avellaneda_stoikov,40,-24.69178533245122,-19.084874929800044,25.345039674466694,-108.41267012592105,-63.992658799350814,-1.6974889093711072,-126.45507539179481,0.95,-103.32378658939255,32.44626886188145,3.4262,12.75,124.975,-0.13042595394801704,0.8791791531891867,0.0,0.0,1.4779288903810084e-12
toxic,avellaneda_stoikov,40,-1.289389501255441,-0.9986649229418747,5.211968179361765,-13.751217485347574,-10.024092867717673,8.129980834234413,-14.587748189100665,0.625,-13.515272927878755,6.399766399997338,2.5465,7.775,88.225,0.004522856452583788,0.8118777071455643,0.0,0.0,1.2754242106893798e-12
