scenario,strategy,number_of_paths,mean_terminal_pnl,median_terminal_pnl,pnl_standard_deviation,pnl_1_percentile,pnl_5_percentile,pnl_95_percentile,worst_terminal_pnl,probability_of_loss,expected_shortfall_5,mean_maximum_drawdown,mean_absolute_inventory,mean_maximum_inventory,mean_traded_quantity,mean_markout_per_unit,mean_toxic_fraction,mean_forced_reduction_count,halt_probability,maximum_reconciliation_error,toxicity_sensitivity
toxic,full_adaptive,18,0.6502903313249594,-0.04509046861217775,3.85682121276315,-5.099097087057053,-4.161691058828114,6.129705401311185,-5.333448594114287,0.5,-5.333448594114287,3.869912546832574,2.073412698412698,4.5,28.944444444444443,0.03840007882260539,0.7892308958169174,0.0,0.0,2.9309887850104133e-13,0.0
toxic,full_adaptive,18,0.18575464363685457,0.9297368809038769,3.813653685220888,-7.61314835854891,-7.585990667207567,4.2331770809261,-7.619937781384246,0.3333333333333333,-7.619937781384246,4.456531657180482,2.070238095238095,4.333333333333333,21.055555555555557,0.05960369002010235,0.7944334818947821,0.0,0.0,4.1033842990145786e-13,0.5
toxic,full_adaptive,18,-0.6506787567511518,-1.4300959721863458,3.3602574000338574,-5.886125223290125,-4.719604132591054,3.246870125870975,-6.177755495964893,0.5555555555555556,-6.177755495964893,4.419957164303006,1.9123015873015872,4.111111111111111,15.166666666666666,0.0644986211967391,0.7946694373164962,0.0,0.0,2.646771690706373e-13,1.1
toxic,full_adaptive,18,0.7525989249963954,1.1469921886860375,2.4613577583548762,-3.9714142241405024,-3.1839379056604806,4.706573164278539,-4.168283303760508,0.2777777777777778,-4.168283303760508,3.055179348860234,1.6376984126984129,3.5,12.444444444444445,0.08350116845688196,0.8221334450436618,0.0,0.0,2.078337502098293e-13,2.0
