horizon_steps,markout_per_unit,price_component_per_unit,total_quantity
1,-0.012511814604650208,-0.068182383494622,108.0
5,-0.016325962199776778,-0.07201750337817321,105.0
20,-0.005271118797971111,-0.061055759043474184,103.0
50,-0.028695767736053153,-0.08435343811323971,90.0
