step,time_start,time_end,mid_start,mid_end,price_change,process_volatility,latent_signal,drift_price_move,information_price_move,noise_price_move,jump_price_move,quote_bid,quote_ask,bid_size,ask_size,bid_distance,ask_distance,quote_center_shift,effective_half_spread,bid_intensity,ask_intensity,bid_fill_quantity,ask_fill_quantity,net_inventory_change,toxic_bid_quantity,toxic_ask_quantity,total_toxic_quantity,inventory_start,inventory_after_risk_action,inventory_after_fills,cash_start,cash_after_risk_action,cash_after_fills,wealth_start,wealth_end,forced_execution_pnl,forced_execution_cost,forced_trade_quantity,spread_capture,maker_fees,price_move_pnl,new_fill_price_pnl,carried_inventory_price_pnl,passive_markout_pnl,drift_price_pnl,information_price_pnl,noise_price_pnl,jump_price_pnl,new_fill_information_pnl,carried_information_pnl,exact_interval_pnl,attributed_interval_pnl,reconciliation_error,risk_state,risk_reason_codes,risk_liquidation_pnl,risk_drawdown,estimated_volatility,target_half_spread,estimated_bid_adverse_loss,estimated_ask_adverse_loss
0,0.0,0.004,100.0,100.02064229745625,0.02064229745624857,0.55,-0.854839547829388,0.0,-0.0,0.020642297456252862,0.0,99.91,100.09,4.0,4.0,0.09000000000000341,0.09000000000000341,0.0,0.09000000000000341,17.81088291752423,17.81088291752423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,normal,,0.0,0.0,1.0,0.08478505426185218,0.0,0.0
1,0.004,0.008,100.02064229745625,99.9900740577925,-0.030568239663750774,0.55,-0.8561439932387094,0.0,-0.0,-0.03056823966374972,0.0,99.93,100.11,4.0,4.0,0.09064229745624175,0.08935770254375086,-0.0006422974562383388,0.0899999999999963,17.606150762217876,18.01799578943716,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,100.109,0.0,0.11892594220749686,0.0,0.0,0.0,0.08935770254375086,0.001,0.030568239663750774,0.030568239663750774,-0.0,0.11992594220750163,-0.0,0.0,0.03056823966374972,-0.0,0.0,-0.0,0.11892594220749686,0.11892594220750163,-4.773959005888173e-15,normal,,0.0,0.0,0.9728265861211255,0.08383982558559576,0.0,0.0
2,0.008,0.012,99.9900740577925,100.00147423501836,0.01140017722586606,0.55,0.4525282263001502,0.0,0.0,0.011400177225869354,0.0,99.91,100.08,4.0,4.0,0.08007405779250121,0.0899259422075005,0.0049259422075067505,0.08500000000000085,21.29509213706429,17.834641373580478,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,100.109,100.109,100.109,0.11892594220749686,0.1075257649816308,0.0,0.0,0.0,0.0,0.0,-0.01140017722586606,0.0,-0.01140017722586606,0.0,-0.0,-0.0,-0.011400177225869354,-0.0,0.0,-0.0,-0.01140017722586606,-0.01140017722586606,0.0,normal,,0.0,0.0,0.9505915693957875,0.08306637932229169,0.0,0.0
3,0.012,0.016,100.00147423501836,100.00620708464085,0.004732849622484991,0.55,-1.0958442584450052,0.0,-0.0,0.004732849622491217,0.0,99.92,100.09,4.0,4.0,0.08147423501836215,0.08852576498163955,0.003525764981631596,0.08500000000000085,20.765094749188282,18.28984340640879,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,100.109,100.109,100.109,0.1075257649816308,0.10279291535914581,0.0,0.0,0.0,0.0,0.0,-0.004732849622484991,0.0,-0.004732849622484991,0.0,-0.0,0.0,-0.004732849622491217,-0.0,-0.0,0.0,-0.004732849622484991,-0.004732849622484991,0.0,normal,,0.0,0.0,0.9226897271074838,0.0820958122242874,0.0,0.0
4,0.016,0.02,100.00620708464085,100.00216954060852,-0.00403754403232881,0.55,-1.1351720768010696,0.0,-0.0,-0.00403754403233179,0.0,99.92,100.10000000000001,4.0,4.0,0.08620708464084714,0.09379291535915968,0.003792915359156268,0.09000000000000341,19.06934642857381,16.635470517564126,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,100.109,100.109,200.208,0.10279291535914581,0.20366091878295833,0.0,0.0,0.0,0.09379291535915968,0.001,0.00807508806465762,0.00403754403232881,0.00403754403232881,0.09783045939148849,-0.0,0.0,0.00807508806466358,-0.0,0.0,0.0,0.10086800342381252,0.1008680034238173,-4.773959005888173e-15,normal,,0.0,0.0,0.8947686575547545,0.08112457630484676,0.0,0.0
5,0.02,0.024,100.00216954060852,100.00544881850318,0.0032792778946628687,0.55,-1.1060829987245042,0.0,-0.0,0.003279277894662664,0.0,99.92,100.09,4.0,4.0,0.08216954060851833,0.08783045939148337,0.002830459391475415,0.08500000000000085,20.506828728369644,18.52018838761178,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,200.208,200.208,200.208,0.20366091878295833,0.1971023629936326,0.0,0.0,0.0,0.0,0.0,-0.006558555789325737,0.0,-0.006558555789325737,0.0,-0.0,0.0,-0.006558555789325328,-0.0,-0.0,0.0,-0.006558555789325737,-0.006558555789325737,0.0,normal,,0.0,0.0,0.8676513239412431,0.08018129838366403,0.0,0.0
6,0.024,0.028,100.00544881850318,99.96238866179064,-0.04306015671254215,0.55,-1.626425110132977,0.0,-0.0,-0.043060156712536345,0.0,99.93,100.10000000000001,4.0,4.0,0.07544881850317608,0.09455118149682562,0.009551181496831873,0.08500000000000085,23.14389283425342,16.409958946914838,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,200.208,200.208,200.208,0.1971023629936326,0.2832226764187169,0.0,0.0,0.0,0.0,0.0,0.0861203134250843,-0.0,0.0861203134250843,0.0,-0.0,0.0,0.08612031342507269,-0.0,-0.0,0.0,0.0861203134250843,0.0861203134250843,0.0,normal,,0.0,0.0,0.8413150395026995,0.07926518930041371,0.0,0.0
7,0.028,0.032,99.96238866179064,99.93647841214126,-0.025910249649385264,0.55,-0.6311456175429939,0.0,-0.0,-0.025910249649387575,0.0,99.88,100.05,4.0,4.0,0.0823886617906453,0.0876113382093564,0.002611338209362657,0.08500000000000085,20.426105376836272,18.59337961276686,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,200.208,200.208,200.208,0.2832226764187169,0.33504317571748743,0.0,0.0,0.0,0.0,0.0,0.05182049929877053,-0.0,0.05182049929877053,0.0,-0.0,0.0,0.05182049929877515,-0.0,-0.0,0.0,0.05182049929877053,0.05182049929877053,0.0,normal,,0.0,0.0,0.8325593026286195,0.07896062051814634,0.0,0.0
8,0.032,0.036000000000000004,99.93647841214126,99.97253629816241,0.03605788602115467,0.55,-1.110030946550905,0.0,-0.0,0.03605788602115277,0.0,99.86,100.03,4.0,4.0,0.07647841214125606,0.09352158785874565,0.00852158785873769,0.08500000000000085,22.718924413736946,16.716915130553264,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,200.208,200.208,200.208,0.33504317571748743,0.2629274036751781,0.0,0.0,0.0,0.0,0.0,-0.07211577204230935,0.0,-0.07211577204230935,0.0,-0.0,0.0,-0.07211577204230554,-0.0,-0.0,0.0,-0.07211577204230935,-0.07211577204230935,0.0,normal,,0.0,0.0,0.8134099878924823,0.07829451056597252,0.0,0.0
9,0.036000000000000004,0.04,99.97253629816241,99.99987847012842,0.027342171966012074,0.55,0.17596349216785778,0.0,0.0,0.027342171966005864,0.0,99.9,100.06,4.0,4.0,0.07253629816240448,0.08746370183759211,0.007463701837593817,0.0799999999999983,24.389587597346235,18.642856388682226,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,200.208,200.208,200.208,0.2629274036751781,0.20824305974315394,0.0,0.0,0.0,0.0,0.0,-0.05468434393202415,0.0,-0.05468434393202415,0.0,-0.0,-0.0,-0.05468434393201173,-0.0,0.0,-0.0,-0.05468434393202415,-0.05468434393202415,0.0,normal,,0.0,0.0,0.8008996360741912,0.07785933729913841,0.0,0.0
10,0.04,0.044,99.99987847012842,100.04055820876943,0.04067973864100338,0.55,-0.7954754004468512,0.0,-0.0,0.04067973864100469,0.0,99.92,100.09,4.0,4.0,0.07987847012842053,0.09012152987158117,0.005121529871573216,0.08500000000000085,21.370195294647218,17.77196352421845,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,200.208,200.208,200.208,0.20824305974315394,0.12688358246114717,0.0,0.0,0.0,0.0,0.0,-0.08135947728200676,0.0,-0.08135947728200676,0.0,-0.0,0.0,-0.08135947728200937,-0.0,-0.0,0.0,-0.08135947728200676,-0.08135947728200676,0.0,normal,,0.0,0.0,0.7836885407846859,0.07726064841558705,0.0,0.0
11,0.044,0.048,100.04055820876943,100.05950397198772,0.018945763218297884,0.55,1.1653131790761706,0.0,0.0,0.018945763218303692,0.0,99.96000000000001,100.13,4.0,4.0,0.08055820876941766,0.08944179123056983,0.0044417912305760865,0.08499999999999375,21.110317720990075,17.99074444551657,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,200.208,200.208,200.208,0.12688358246114717,0.0889920560245514,0.0,0.0,0.0,0.0,0.0,-0.03789152643659577,0.0,-0.03789152643659577,0.0,-0.0,-0.0,-0.037891526436607384,-0.0,0.0,-0.0,-0.03789152643659577,-0.03789152643659577,0.0,normal,,0.0,0.0,0.7759769856498978,0.07699240155178019,0.0,0.0
12,0.048,0.052000000000000005,100.05950397198772,100.08231903405944,0.022815062071714465,0.55,-0.07260025097529303,0.0,-0.0,0.022815062071710246,0.0,99.98,100.15,4.0,4.0,0.07950397198771952,0.09049602801228218,0.005496028012274223,0.08500000000000085,21.514737696329025,17.652566191717842,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,200.208,200.208,200.208,0.0889920560245514,0.04336193188112247,0.0,0.0,0.0,0.0,0.0,-0.04563012414342893,0.0,-0.04563012414342893,0.0,-0.0,0.0,-0.04563012414342049,-0.0,-0.0,0.0,-0.04563012414342893,-0.04563012414342893,0.0,normal,,0.0,0.0,0.7559073980863401,0.07629427985936883,0.0,0.0
13,0.052000000000000005,0.056,100.08231903405944,100.13312208234687,0.05080304828743465,0.55,-0.31015492421599666,0.0,-0.0,0.05080304828743637,0.0,100.01,100.17,4.0,4.0,0.07231903405943285,0.08768096594056374,0.007680965940565443,0.0799999999999983,24.48515602151723,18.570091142442962,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,200.208,200.208,200.208,0.04336193188112247,-0.058244164693746825,0.0,0.0,0.0,0.0,0.0,-0.1016060965748693,0.0,-0.1016060965748693,0.0,-0.0,0.0,-0.10160609657487274,-0.0,-0.0,0.0,-0.1016060965748693,-0.1016060965748693,0.0,normal,,0.0,0.0,0.738187063468877,0.0756778770581622,0.0,0.0
