step,time,state,reason_codes,inventory_before,inventory_after_risk_action,forced_trade_quantity,forced_execution_cost,liquidation_pnl,drawdown
161,0.644,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
162,0.648,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
163,0.652,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
164,0.656,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
165,0.66,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
166,0.664,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
167,0.668,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
168,0.672,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
169,0.676,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
170,0.68,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
171,0.684,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
172,0.6880000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
173,0.6920000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
174,0.6960000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
175,0.7000000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
176,0.704,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
177,0.708,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
178,0.712,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
179,0.716,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
180,0.72,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
181,0.724,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
182,0.728,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
183,0.732,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
184,0.736,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
185,0.74,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
186,0.744,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
187,0.748,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
188,0.752,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
189,0.756,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
190,0.76,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
191,0.764,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
192,0.768,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
193,0.772,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
194,0.776,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
195,0.78,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
196,0.784,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
197,0.788,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
198,0.792,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
199,0.796,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
200,0.8,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
201,0.804,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
202,0.808,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
203,0.812,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
204,0.8160000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
205,0.8200000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
206,0.8240000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
207,0.8280000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
208,0.8320000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
209,0.836,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
210,0.84,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
211,0.844,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
212,0.848,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
213,0.852,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
214,0.856,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
215,0.86,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
216,0.864,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
217,0.868,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
218,0.872,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
219,0.876,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
220,0.88,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
221,0.884,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
222,0.888,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
223,0.892,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
224,0.896,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
225,0.9,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
226,0.904,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
227,0.908,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
228,0.912,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
229,0.916,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
230,0.92,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
231,0.924,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
232,0.928,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
233,0.932,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
234,0.936,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
235,0.9400000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
236,0.9440000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
237,0.9480000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
238,0.9520000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
239,0.9560000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
240,0.96,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
241,0.964,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
242,0.968,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
243,0.972,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
244,0.976,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
245,0.98,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
246,0.984,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
247,0.988,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
248,0.992,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
249,0.996,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
