step,time,side,price,quantity,fee,liquidity,quote_mid,quote_bid,quote_ask,immediate_spread_capture,toxic_quantity,toxic_fraction,is_toxic,inventory_after_trade,cash_after_trade,next_mid_price,post_trade_price_component,one_step_markout
78,0.312,buy,100.0,1.0,0.001,maker,100.07864316108507,100.0,100.17,0.07864316108506841,0.0,0.0,False,-2.0,201.37200000000038,100.09343820613334,0.014795045048273892,0.0934382061333423
79,0.316,buy,100.01,1.0,0.001,maker,100.09343820613334,100.01,100.18,0.08343820613333719,0.0,0.0,False,-1.0,101.36100000000037,100.05928032171006,-0.03415788442327994,0.04928032171005725
86,0.34400000000000003,sell,100.11,1.0,0.001,maker,100.02415721674447,99.94,100.11,0.0858427832555293,0.0,0.0,False,-2.0,201.47000000000037,100.07522413372692,-0.051066916982449584,0.034775866273079714
89,0.356,buy,100.10000000000001,1.0,0.001,maker,100.18259398779941,100.10000000000001,100.28,0.08259398779939886,1.0,1.0,True,-1.0,101.36900000000036,99.81675250328435,-0.3658414845150588,-0.28324749671565996
90,0.36,sell,99.94,1.0,0.001,maker,99.81675250328435,99.66,99.94,0.12324749671564916,0.0,0.0,False,-2.0,201.30800000000036,99.79292203178412,0.023830471500232875,0.14707796821588204
98,0.392,buy,99.41,1.0,0.001,maker,99.56870147723767,99.41,99.7,0.15870147723767047,1.0,1.0,True,-1.0,101.89700000000036,99.50021380709852,-0.0684876701391488,0.09021380709852167
116,0.464,sell,100.03,1.0,0.001,maker,99.89416154638369,99.72,100.03,0.13583845361631575,1.0,1.0,True,-2.0,201.92600000000036,100.25063919631586,-0.3564776499321738,-0.22063919631585804
133,0.532,sell,101.11,1.0,0.001,maker,100.90448324274843,100.71000000000001,101.11,0.2055167572515728,1.0,1.0,True,-3.0,303.03500000000037,101.43274745907499,-0.5282642163265621,-0.32274745907498925
176,0.704,buy,101.88,1.0,0.001,maker,102.0502017631057,101.88,102.29,0.1702017631057089,0.0,0.0,False,-2.0,201.15400000000037,102.09911132837652,0.04890956527081869,0.21911132837652758
185,0.74,buy,101.94,1.0,0.001,maker,102.08801997305568,101.94,102.31,0.14801997305568193,1.0,1.0,True,-1.0,99.21300000000036,102.10317463683597,0.015154663780293731,0.16317463683597566
199,0.796,buy,101.89,1.0,0.001,maker,102.02981286745151,101.89,102.24000000000001,0.13981286745151067,1.0,1.0,True,0.0,-2.677999999999637,102.03117494246445,0.001362075012934838,0.1411749424644455
218,0.872,buy,101.99000000000001,1.0,0.001,maker,102.11429047700209,101.99000000000001,102.31,0.12429047700207718,1.0,1.0,True,1.0,-104.66899999999966,102.03854208948142,-0.07574838752066171,0.048542089481415474
