step,time,side,price,quantity,fee,liquidity,quote_mid,quote_bid,quote_ask,immediate_spread_capture,toxic_quantity,toxic_fraction,is_toxic,inventory_after_trade,cash_after_trade,next_mid_price,post_trade_price_component,one_step_markout
9,0.036000000000000004,sell,101.04,1.0,0.001,maker,100.86240505229074,100.68,101.04,0.17759494770926665,1.0,1.0,True,-1.0,101.039,101.03355883160522,-0.17115377931447995,0.0064411683947867004
42,0.168,buy,99.53,1.0,0.001,maker,99.68687723898991,99.53,99.87,0.1568772389899067,1.0,1.0,True,0.0,1.5080000000000005,99.63477103952691,-0.05210619946299744,0.10477103952690925
46,0.184,buy,99.76,1.0,0.001,maker,99.91536509103494,99.76,100.09,0.15536509103493756,1.0,1.0,True,1.0,-98.25300000000001,99.60796719511333,-0.3073978959216106,-0.15203280488667303
62,0.248,buy,99.11,1.0,0.001,maker,99.29226389607807,99.11,99.45,0.18226389607806937,1.0,1.0,True,2.0,-197.364,98.76800041680112,-0.5242634792769536,-0.34199958319888424
70,0.28,buy,99.02,1.0,0.001,maker,99.26889981164297,99.02,99.43,0.24889981164297126,1.0,1.0,True,3.0,-296.385,99.2497207617014,-0.01917904994157027,0.229720761701401
109,0.436,buy,98.39,1.0,0.001,maker,98.64430744932086,98.39,98.81,0.25430744932086213,1.0,1.0,True,4.0,-394.77599999999995,98.30012581053444,-0.3441816387864236,-0.08987418946556147
