step,time,side,price,quantity,fee,liquidity,quote_mid,quote_bid,quote_ask,immediate_spread_capture,toxic_quantity,toxic_fraction,is_toxic,inventory_after_trade,cash_after_trade,next_mid_price,post_trade_price_component,one_step_markout
45,0.18,sell,98.86,1.0,0.001,maker,98.80061127553175,98.75,98.86,0.059388724468249166,1.0,1.0,True,7.0,-696.9909999999995,98.90692596866555,-0.10631469313379682,-0.04692596866554766
47,0.188,buy,98.86,1.0,0.001,maker,98.91761189973786,98.86,98.97,0.05761189973786429,0.0,0.0,False,8.0,-795.8519999999995,98.95845396498693,0.040842065249066195,0.09845396498693049
50,0.2,buy,98.99000000000001,1.0,0.001,maker,99.04223948713127,98.99000000000001,99.10000000000001,0.05223948713125992,1.0,1.0,True,9.0,-894.8429999999995,99.05747420549457,0.01523471836330259,0.06747420549456251
51,0.20400000000000001,sell,99.11,1.0,0.001,maker,99.05747420549457,99.0,99.11,0.052525794505427825,1.0,1.0,True,8.0,-795.7339999999995,99.07951087487051,-0.022036669375935958,0.030489125129491867
57,0.228,buy,99.01,4.0,0.004,maker,99.06874567314662,99.01,99.12,0.23498269258647042,4.0,1.0,True,12.0,-1191.7779999999993,98.96686815690622,-0.40751006496162745,-0.17252737237515703
62,0.248,sell,99.29,1.0,0.001,maker,99.2389144985663,99.18,99.29,0.05108550143370394,1.0,1.0,True,11.0,-1092.4889999999994,99.35994496061154,-0.12103046204524048,-0.06994496061153654
66,0.264,sell,99.36,1.0,0.001,maker,99.30828128724382,99.25,99.36,0.051718712756184004,1.0,1.0,True,10.0,-993.1299999999993,99.48168466629149,-0.17340337904767011,-0.12168466629148611
67,0.268,buy,99.43,1.0,0.001,maker,99.48168466629149,99.43,99.54,0.05168466629147872,1.0,1.0,True,11.0,-1092.5609999999992,99.47840702228333,-0.00327764400815056,0.04840702228332816
68,0.272,buy,99.42,2.0,0.002,maker,99.47840702228333,99.42,99.53,0.11681404456666655,2.0,1.0,True,13.0,-1291.402999999999,99.25503648310385,-0.4467410783589685,-0.3299270337923019
69,0.276,sell,99.31,1.0,0.001,maker,99.25503648310385,99.2,99.31,0.05496351689615153,1.0,1.0,True,12.0,-1192.0939999999991,99.13505215115555,0.11998433194830227,0.1749478488444538
70,0.28,sell,99.19,2.0,0.002,maker,99.13505215115555,99.08,99.19,0.10989569768889851,2.0,1.0,True,10.0,-993.7159999999991,99.12936295994646,0.01137838241817235,0.12127408010707086
74,0.296,buy,99.46000000000001,1.0,0.001,maker,99.51912295726126,99.46000000000001,99.57000000000001,0.05912295726125194,1.0,1.0,True,11.0,-1093.176999999999,99.44633163530892,-0.07279132195233728,-0.013668364691085344
77,0.308,sell,99.41,1.0,0.001,maker,99.35643287913857,99.3,99.41,0.05356712086143034,1.0,1.0,True,10.0,-993.767999999999,99.52617602629594,-0.16974314715737648,-0.11617602629594614
78,0.312,buy,99.47,1.0,0.001,maker,99.52617602629594,99.47,99.58,0.05617602629594387,1.0,1.0,True,11.0,-1093.238999999999,99.53155822782462,0.005382201528675523,0.061558227824619394
79,0.316,sell,99.59,1.0,0.001,maker,99.53155822782462,99.48,99.59,0.058441772175385154,1.0,1.0,True,10.0,-993.6499999999988,99.62113000384896,-0.08957177602434285,-0.0311300038489577
81,0.324,buy,99.53,1.0,0.001,maker,99.58878130598323,99.53,99.64,0.05878130598323139,0.0,0.0,False,11.0,-1093.180999999999,99.72100688109889,0.1322255751156547,0.19100688109888608
83,0.332,sell,99.75,1.0,0.001,maker,99.69907906682914,99.64,99.75,0.05092093317085755,1.0,1.0,True,10.0,-993.4319999999989,99.69578076757097,0.0032982992581764847,0.05421923242903404
87,0.34800000000000003,sell,100.01,2.0,0.002,maker,99.95457226034496,99.9,100.01,0.11085547931008932,2.0,1.0,True,8.0,-793.4139999999989,100.01218304756419,-0.11522157443846481,-0.004366095128375491
89,0.356,buy,99.96000000000001,1.0,0.001,maker,100.017463285119,99.96000000000001,100.07000000000001,0.0574632851189989,1.0,1.0,True,9.0,-893.3749999999989,99.80488615004299,-0.2125771350760175,-0.1551138499570186
90,0.36,buy,99.75,1.0,0.001,maker,99.80488615004299,99.75,99.86,0.05488615004298936,1.0,1.0,True,10.0,-993.1259999999988,99.79675777484661,-0.008128375196378101,0.046757774846611255
95,0.38,buy,99.68,1.0,0.001,maker,99.73845231957775,99.68,99.79,0.05845231957773933,1.0,1.0,True,11.0,-1092.8069999999989,99.75816695427665,0.019714634698900113,0.07816695427663944
101,0.404,sell,99.60000000000001,1.0,0.001,maker,99.54142991734413,99.49000000000001,99.60000000000001,0.058570082655876377,1.0,1.0,True,10.0,-993.2079999999988,99.71858500460534,-0.17715508726121243,-0.11858500460533605
103,0.41200000000000003,buy,99.57000000000001,1.0,0.001,maker,99.62730949555267,99.57000000000001,99.68,0.05730949555265852,1.0,1.0,True,11.0,-1092.7789999999989,99.63143103473473,0.004121539182065703,0.06143103473472422
103,0.41200000000000003,sell,99.68,1.0,0.001,maker,99.62730949555267,99.57000000000001,99.68,0.05269050444734091,0.0,0.0,False,10.0,-993.0999999999988,99.63143103473473,-0.004121539182065703,0.04856896526527521
104,0.41600000000000004,sell,99.69,1.0,0.001,maker,99.63143103473473,99.58,99.69,0.058568965265266115,1.0,1.0,True,9.0,-893.4109999999987,99.64566569779207,-0.014234663057337116,0.044334302207929
109,0.436,sell,99.69,1.0,0.001,maker,99.63930993851761,99.58,99.69,0.05069006148238486,1.0,1.0,True,8.0,-793.7219999999986,99.80416795934417,-0.1648580208265571,-0.11416795934417223
111,0.444,sell,99.97,1.0,0.001,maker,99.91249665877892,99.86,99.97,0.057503341221078585,1.0,1.0,True,7.0,-693.7529999999986,99.92890641274725,-0.016409753968332552,0.04109358725274603
114,0.456,sell,100.01,1.0,0.001,maker,99.95985664643463,99.9,100.01,0.05014335356537458,0.0,0.0,False,6.0,-593.7439999999986,99.97691974758526,-0.017063101150625926,0.033080252414748657
115,0.46,buy,99.92,1.0,0.001,maker,99.97691974758526,99.92,100.03,0.056919747585254754,1.0,1.0,True,7.0,-693.6649999999985,99.87885998305866,-0.09805976452659593,-0.04114001694134117
118,0.47200000000000003,buy,100.01,1.0,0.001,maker,100.06956540906465,100.01,100.12,0.059565409064646246,1.0,1.0,True,8.0,-793.6759999999985,99.99499554635985,-0.0745698627048057,-0.015004453640159454
122,0.488,sell,100.08,1.0,0.001,maker,100.0296768073373,99.97,100.08,0.050323192662702354,1.0,1.0,True,7.0,-693.5969999999984,100.29920243308331,-0.269525625746013,-0.21920243308331067
126,0.504,buy,100.11,1.0,0.001,maker,100.1644642894678,100.11,100.22,0.05446428946780202,1.0,1.0,True,8.0,-793.7079999999984,100.02410018713162,-0.14036410233617858,-0.08589981286837656
129,0.516,buy,100.24000000000001,3.0,0.003,maker,100.29955011990181,100.24000000000001,100.35000000000001,0.17865035970540077,3.0,1.0,True,11.0,-1094.4309999999984,100.32816712754932,0.08585102294253488,0.26450138264793566
129,0.516,sell,100.35000000000001,1.0,0.001,maker,100.29955011990181,100.24000000000001,100.35000000000001,0.050449880098199174,0.0,0.0,False,10.0,-994.0819999999984,100.32816712754932,-0.028617007647511628,0.021832872450687546
133,0.532,sell,100.57000000000001,1.0,0.001,maker,100.51207358237691,100.46000000000001,100.57000000000001,0.057926417623093585,1.0,1.0,True,9.0,-893.5129999999983,100.82633770173102,-0.3142641193541067,-0.2563377017310131
135,0.54,buy,100.96000000000001,2.0,0.002,maker,101.01040448266217,100.96000000000001,101.07000000000001,0.10080896532431893,2.0,1.0,True,11.0,-1095.4349999999984,100.92122639329263,-0.1783561787390795,-0.07754721341476056
139,0.556,buy,100.78,1.0,0.001,maker,100.8359312944525,100.78,100.89,0.0559312944524919,1.0,1.0,True,12.0,-1196.2159999999983,100.8515543739571,0.015623079504607063,0.07155437395709896
144,0.5760000000000001,sell,100.93,1.0,0.001,maker,100.87370857453598,100.82000000000001,100.93,0.05629142546402477,1.0,1.0,True,11.0,-1095.2869999999982,100.99302945905958,-0.1193208845236029,-0.06302945905957813
145,0.58,sell,101.05,1.0,0.001,maker,100.99302945905958,100.94,101.05,0.056970540940412207,1.0,1.0,True,10.0,-994.2379999999982,101.09136121639115,-0.09833175733156452,-0.04136121639115231
150,0.6,sell,101.38,2.0,0.002,maker,101.32055562636756,101.27,101.38,0.11888874726486165,2.0,1.0,True,8.0,-791.4799999999982,101.52005097069296,-0.3989906886507981,-0.28010194138593647
153,0.612,sell,101.46000000000001,1.0,0.001,maker,101.4065176868381,101.35000000000001,101.46000000000001,0.05348231316190777,0.0,0.0,False,7.0,-690.0209999999981,101.312355593459,0.0941620933790972,0.14764440654100497
155,0.62,buy,101.25,1.0,0.001,maker,101.30809988560709,101.25,101.36,0.058099885607092006,1.0,1.0,True,8.0,-791.2719999999981,101.16298378440865,-0.14511610119843965,-0.08701621559134765
157,0.628,sell,101.4,1.0,0.001,maker,101.34698798679693,101.29,101.4,0.05301201320307314,1.0,1.0,True,7.0,-689.8729999999981,101.42691555543416,-0.07992756863723116,-0.026915555434158023
159,0.636,buy,101.47,1.0,0.001,maker,101.52649896494478,101.47,101.58,0.05649896494477957,1.0,1.0,True,8.0,-791.3439999999981,101.53269051659585,0.006191551651070881,0.06269051659585045
161,0.644,buy,101.47,1.0,0.001,maker,101.52424723050366,101.47,101.58,0.054247230503662536,1.0,1.0,True,9.0,-892.8149999999981,101.41856109439512,-0.10568613610854527,-0.051438905604882734
171,0.684,buy,101.03,4.0,0.004,maker,101.08206856697511,101.03,101.14,0.20827426790043546,4.0,1.0,True,13.0,-1296.938999999998,101.00262486706347,-0.31777479964654276,-0.1095005317461073
173,0.6920000000000001,buy,100.99000000000001,1.0,0.001,maker,101.04247912187508,100.99000000000001,101.10000000000001,0.052479121875066426,0.0,0.0,False,14.0,-1397.929999999998,101.06726221183949,0.024783089964415694,0.07726221183948212
173,0.6920000000000001,sell,101.10000000000001,1.0,0.001,maker,101.04247912187508,100.99000000000001,101.10000000000001,0.057520878124933006,1.0,1.0,True,13.0,-1296.830999999998,101.06726221183949,-0.024783089964415694,0.03273778816051731
175,0.7000000000000001,sell,100.89,1.0,0.001,maker,100.83467011329344,100.78,100.89,0.05532988670655925,1.0,1.0,True,12.0,-1195.941999999998,100.88995456708246,-0.05528445378901381,4.543291754544043e-05
181,0.724,sell,100.92,1.0,0.001,maker,100.86071169551381,100.81,100.92,0.059288304486187826,1.0,1.0,True,11.0,-1095.0229999999979,100.93541013659795,-0.07469844108413781,-0.015410136597949986
190,0.76,sell,101.26,1.0,0.001,maker,101.2025391727206,101.15,101.26,0.057460827279399496,1.0,1.0,True,10.0,-993.7639999999978,101.35641870779179,-0.15387953507118368,-0.09641870779178419
192,0.768,sell,101.4,4.0,0.004,maker,101.34101070682286,101.29,101.4,0.23595717270859495,4.0,1.0,True,6.0,-588.1679999999978,101.51213921935916,-0.6845140501451965,-0.44855687743660155
198,0.792,buy,101.0,1.0,0.001,maker,101.05718097475287,101.0,101.11,0.05718097475286754,1.0,1.0,True,7.0,-689.1689999999978,100.93139391114474,-0.1257870636081293,-0.06860608885526176
199,0.796,buy,100.88,1.0,0.001,maker,100.93139391114474,100.88,100.99000000000001,0.05139391114474279,1.0,1.0,True,8.0,-790.0499999999978,100.91297748969434,-0.01841642145039657,0.03297748969434622
207,0.8280000000000001,buy,101.12,1.0,0.001,maker,101.17536175401247,101.12,101.23,0.055361754012466236,1.0,1.0,True,9.0,-891.1709999999978,101.19440695533827,0.019045201325795347,0.07440695533826158
209,0.836,buy,101.10000000000001,1.0,0.001,maker,101.15700558861751,101.10000000000001,101.21000000000001,0.057005588617499825,1.0,1.0,True,10.0,-992.2719999999978,101.1234801416743,-0.03352544694320159,0.02348014167429824
213,0.852,buy,101.12,1.0,0.001,maker,101.17859465263933,101.12,101.23,0.058594652639328615,1.0,1.0,True,11.0,-1093.3929999999978,101.05086894333141,-0.12772570930792426,-0.06913105666859565
214,0.856,sell,101.11,1.0,0.001,maker,101.05086894333141,101.0,101.11,0.05913105666859053,0.0,0.0,False,10.0,-992.2839999999977,101.07071348711273,-0.019844543781317725,0.039286512887272806
216,0.864,buy,100.92,1.0,0.001,maker,100.9726661504683,100.92,101.03,0.0526661504682977,1.0,1.0,True,11.0,-1093.2049999999977,100.84337288458518,-0.1292932658831205,-0.07662711541482281
218,0.872,buy,100.84,1.0,0.001,maker,100.89802204925469,100.84,100.95,0.05802204925468857,1.0,1.0,True,12.0,-1194.0459999999975,100.67901198069397,-0.21901006856072058,-0.16098801930603202
221,0.884,buy,100.33,1.0,0.001,maker,100.38025636905974,100.33,100.44,0.050256369059738404,1.0,1.0,True,13.0,-1294.3769999999975,100.22365543613998,-0.1566009329197584,-0.10634456386002
222,0.888,sell,100.28,1.0,0.001,maker,100.22365543613998,100.17,100.28,0.056344563860022845,1.0,1.0,True,12.0,-1194.0979999999975,100.28884055632112,-0.06518512018114109,-0.008840556321118243
224,0.896,sell,100.34,2.0,0.002,maker,100.28004773620808,100.23,100.34,0.11990452758385572,2.0,1.0,True,10.0,-993.4199999999973,100.41474658406014,-0.26939769570412864,-0.1494931681202729
225,0.9,buy,100.36,1.0,0.001,maker,100.41474658406014,100.36,100.47,0.054746584060140435,0.0,0.0,False,11.0,-1093.7809999999972,100.51990781752592,0.10516123346577899,0.15990781752591943
225,0.9,sell,100.47,1.0,0.001,maker,100.41474658406014,100.36,100.47,0.055253415939858996,1.0,1.0,True,10.0,-993.3119999999972,100.51990781752592,-0.10516123346577899,-0.049907817525919995
229,0.916,sell,100.91,1.0,0.001,maker,100.85065910082446,100.8,100.91,0.0593408991755382,1.0,1.0,True,9.0,-892.4029999999972,100.78423765833467,0.06642144248978354,0.12576234166532174
237,0.9480000000000001,buy,100.96000000000001,1.0,0.001,maker,101.010582654283,100.96000000000001,101.07000000000001,0.0505826542829908,0.0,0.0,False,10.0,-993.3639999999972,101.13584364621917,0.12526099193617313,0.17584364621916393
244,0.976,sell,101.53,1.0,0.001,maker,101.47878877583818,101.42,101.53,0.051211224161818336,1.0,1.0,True,9.0,-891.8349999999972,101.40929710050064,0.06949167533754519,0.12070289949936353
247,0.988,buy,101.26,1.0,0.001,maker,101.31956366246344,101.26,101.37,0.059563662463432365,1.0,1.0,True,10.0,-993.0959999999972,101.27372959095183,-0.04583407151160657,0.013729590951825799
248,0.992,buy,101.22,1.0,0.001,maker,101.27372959095183,101.22,101.33,0.05372959095183205,1.0,1.0,True,11.0,-1094.316999999997,101.15151636297007,-0.12221322798176004,-0.06848363702992799
249,0.996,buy,101.10000000000001,1.0,0.001,maker,101.15151636297007,101.10000000000001,101.21000000000001,0.051516362970062346,1.0,1.0,True,12.0,-1195.417999999997,101.11939134858027,-0.03212501438980553,0.019391348580256818
